AeroDyn airfoil file Created with QBlade v0.963 64bit on 05.04.2021 at 22:24:34 Compatible with AeroDyn v13.0.
Polar "E780-R81712-20-20 360 M" on Foil "E780-R81712-20-20" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
50.00          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
-3.09          Angle of attack for zero Cn for linear Cn curve (deg)
8.11982        Cn slope for zero lift for linear Cn curve (1/rad)
-0.6502        Cn at stall value for positive angle of attack for linear Cn curve
-0.5797        Cn at stall value for negative angle of attack for linear Cn curve
-0.50          Angle of attack for minimum CD (deg)
0.0184         Minimum CD value
    -13.00   -0.4601    0.1740
    -12.50   -0.4501    0.1693
    -12.00   -0.4391    0.1575
    -11.50   -0.4015    0.1414
    -11.00   -0.3846    0.1346
    -10.50   -0.3714    0.1285
    -10.00   -0.3607    0.1230
     -9.50   -0.3563    0.1197
     -9.00   -0.3599    0.1194
     -8.50   -0.3577    0.1160
     -8.00   -0.3329    0.0995
     -7.50   -0.3140    0.0929
     -7.00   -0.3109    0.0881
     -6.50   -0.3238    0.0849
     -6.00   -0.3630    0.0848
     -5.50   -0.3469    0.0849
     -5.00   -0.3169    0.0694
     -4.50   -0.2394    0.0602
     -4.00   -0.1765    0.0526
     -3.50   -0.0505    0.0371
     -3.00    0.0115    0.0288
     -2.50    0.0956    0.0241
     -2.00    0.1540    0.0222
     -1.50    0.2241    0.0201
     -0.50    0.3430    0.0184
      0.00    0.4068    0.0190
      0.50    0.4449    0.0202
      1.00    0.5029    0.0206
      1.50    0.5495    0.0220
      2.00    0.5932    0.0233
      2.50    0.6505    0.0239
      3.00    0.6909    0.0257
      3.50    0.7371    0.0268
      4.00    0.7973    0.0270
      4.50    0.8288    0.0293
      5.00    0.8880    0.0290
      5.50    0.9334    0.0300
      6.00    0.9910    0.0290
      6.50    1.0674    0.0224
      7.00    1.1079    0.0258
      7.50    1.1584    0.0226
      8.00    1.1737    0.0230
      8.50    1.1336    0.0307
      9.00    1.1286    0.0357
      9.50    1.1728    0.0413
     10.00    1.2258    0.0488
     10.50    1.2382    0.0568
     11.00    1.2242    0.0649
     11.50    1.1948    0.0738
     12.00    1.1651    0.0840
     12.50    1.1401    0.0913
     13.00    1.0985    0.1026
     13.50    1.0441    0.1194
     14.00    0.9748    0.1509
     14.50    0.9651    0.1664
     15.00    0.9707    0.1992
     15.50    0.9510    0.2027
     16.00    0.9521    0.2118
     16.50    0.9606    0.2214
     17.00    0.9762    0.2315
     17.50    1.0023    0.2542
     18.00    1.0027    0.2629
     18.50    0.9863    0.2662
     19.00    0.9835    0.2748
     19.50    0.9859    0.2850
     20.00    0.9888    0.2948
     21.00    0.9792    0.2119
     22.00    0.9830    0.2341
     23.00    0.9897    0.2570
     24.00    0.9990    0.2807
     25.00    1.0102    0.3050
     26.00    1.0229    0.3299
     27.00    1.0369    0.3554
     28.00    1.0519    0.3816
     29.00    1.0674    0.4082
     30.00    1.0834    0.4355
     31.00    1.0997    0.4632
     32.00    1.1159    0.4914
     33.00    1.1321    0.5201
     34.00    1.1479    0.5492
     35.00    1.1634    0.5787
     36.00    1.1784    0.6086
     37.00    1.1929    0.6387
     38.00    1.2066    0.6692
     39.00    1.2195    0.6999
     40.00    1.2316    0.7309
     41.00    1.2428    0.7620
     42.00    1.2531    0.7933
     43.00    1.2622    0.8247
     44.00    1.2703    0.8562
     45.00    1.2773    0.8877
     46.00    1.2831    0.9192
     47.00    1.2876    0.9507
     48.00    1.2909    0.9821
     49.00    1.2929    1.0134
     50.00    1.2936    1.0446
     51.00    1.2929    1.0755
     52.00    1.2909    1.1063
     53.00    1.2874    1.1368
     54.00    1.2825    1.1670
     55.00    1.2763    1.1969
     56.00    1.2685    1.2264
     57.00    1.2593    1.2555
     58.00    1.2487    1.2841
     59.00    1.2366    1.3123
     60.00    1.2230    1.3400
     61.00    1.2080    1.3671
     62.00    1.1915    1.3936
     63.00    1.1735    1.4196
     64.00    1.1542    1.4448
     65.00    1.1333    1.4695
     66.00    1.1111    1.4934
     67.00    1.0874    1.5166
     68.00    1.0624    1.5390
     69.00    1.0360    1.5606
     70.00    1.0083    1.5814
     71.00    0.9792    1.6014
     72.00    0.9489    1.6205
     73.00    0.9173    1.6387
     74.00    0.8846    1.6560
